variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-cid,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,validator-catch-typecheck-failure,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,validator-catch-typecheck-failure,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-shared-surface,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-rw-dependency,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,block,false,false,false,false,true,true
no-virtual-atom,layer1-no-refinement-available,agr-benchmark,physical-overlap,agrOff,block,admit-parallel,false,true,false,false,true,false
